Nama Tempat,Alamat,Rating,Jumlah Review,Ketersediaan Telepon,Website,Latitude,Longitude,Aksesibilitas Difabel,Jenis Tempat,Kota/Kabupaten,24 Jam,Jam Buka,Jam Tutup,Status Operasional,Telepon,Skor Aksesibilitas,Status Aksesibilitas
Masjid Al-Jihad Universitas Padjadjaran,"Jl. Dipati Ukur No.35, Lebakgede, Kecamatan Coblong, Kota Bandung","4,6",5840,Ada,Tidak Tersedia,-6.8922128,107.6166596,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,222512192,0,Tidak Tersedia
Masjid Al-Amanah,"Jl. Ruhana No.6, RW.8, Paledang, Kec. Lengkong, Kota Bandung","4,8",670,Tidak Ada,Tidak Tersedia,-6.9240612,107.6140377,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al-Lathiif,"Jl. Saninten No.2, Cihapit, Kec. Bandung Wetan, Kota Bandung","4,9",3868,Tidak Ada,Tidak Tersedia,-6.9080632,107.6278676,['Memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,1,Aksesibilitas Difabel Terbatas
Masjid Baitul Ilmi BRIN Bandung,"Komplek LIPI, Jl. Sangkuriang, Dago, Kecamatan Coblong, Kota Bandung","4,7",2710,Tidak Ada,Tidak Tersedia,-6.8820692,107.6107097,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Dzarratul Ulum Batan Bandung,"Jl. Tamansari, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung","4,9",1180,Tidak Ada,Tidak Tersedia,-6.8885852,107.6078735,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Subulussalam,"Gg. Slamet 1 No.Depan, RW.nomer 188, Cicadas, Kec. Kiaracondong, Kota Bandung","4,5",310,Ada,Tidak Tersedia,-6.9094788,107.6456403,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,83820585095,0,Tidak Tersedia
Masjid Al Mukhlisin,"Jl. Jakarta No.20 22 Komplek, Kebonwaru, Kec. Batununggal, Kota Bandung","4,8",1600,Tidak Ada,Tersedia,-6.9153392,107.6366766,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Ar Rahman Haur Kuning Bandung,"Jl. Haurkuning, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung","5,0",430,Tidak Ada,Tidak Tersedia,-6.9213475,107.6154329,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Ar-Rahmah Sukarjin 2,"Jl. Sukarajin II No.12, Cikutra, Kec. Cibeunying Kidul, Kota Bandung","4,5",100,Tidak Ada,Tidak Tersedia,-6.9023134,107.6391406,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Hikmah,"Jl. Purnawarman No.7d, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung","4,7",590,Tidak Ada,Tidak Tersedia,-6.909416,107.6093677,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Ikhlas,"Ps. Cikapundung, Jl. ABC No.117, Braga, Kec. Sumur Bandung, Kota Bandung","4,7",180,Tidak Ada,Tidak Tersedia,-6.9191833,107.6083943,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid An - Nuur,"Jl. Lembong, Braga, Kec. Sumur Bandung, Kota Bandung","4,8",290,Tidak Ada,Tidak Tersedia,-6.9166638,107.6116043,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Miftahul Iman,"Jl. Cikutra Gg. Sukasari I No.36A 04, Neglasari, Kec. Cibeunying Kaler, Kota Bandung","4,4",90,Tidak Ada,Tidak Tersedia,-6.8990312,107.6427974,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al-Hikmah,"Jl. Kembang Sapatu, Samoja, Kec. Batununggal, Kota Bandung","4,8",130,Ada,Tidak Tersedia,-6.9186466,107.6249282,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,81312877555,0,Tidak Tersedia
Masjid Al Urwatul Wutsqo,"Jl. Surareja No.99, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung","4,8",120,Tidak Ada,Tidak Tersedia,-6.9202119,107.6200317,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Salman ITB,"Jl. Ganesa No.7, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung","4,9",17377,Tidak Ada,Tersedia,-6.8937059,107.6111822,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,3,Aksesibilitas Difabel Cukup Lengkap
Masjid Jami Al - Mubarok,"Jl. Awi Bitung, Cicadas, Kec. Cibeunying Kidul, Kota Bandung","4,6",300,Tidak Ada,Tidak Tersedia,-6.9081209,107.6385076,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Latif,"Jl. Maleer IV No.36a, RT.4/RW.2, Maleer, Kec. Batununggal, Kota Bandung","4,9",500,Tidak Ada,Tidak Tersedia,-6.9276633,107.6395952,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Jihad,"Jl. Garut No.1A, Kacapiring, Kec. Batununggal, Kota Bandung","4,6",400,Tidak Ada,Tidak Tersedia,,,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Faatihah,"Jl. Gudang Utara No.9, Merdeka, Kec. Sumur Bandung, Kota Bandung","4,3",90,Tidak Ada,Tidak Tersedia,-6.9152902,107.6207855,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid QAF,"Jl. Kalijati Indah, Antapani Kulon, Kec. Antapani, Kota Bandung","4,8",1125,Tidak Ada,Tidak Tersedia,-6.9086448,107.6540536,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Mu'min,"Bandung railway station, Pasir Kaliki, Kec. Cicendo, Kota Bandung","4,7",940,Tidak Ada,Tidak Tersedia,-6.9133275,107.6017315,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid As Syuhada,"Jl. Brigadir Jend. Katamso No.15a, Cihaur Geulis, Kec. Cibeunying Kidul, Kota Bandung","4,8",630,Tidak Ada,Tidak Tersedia,-6.9054412,107.6313682,,Masjid,Kota Bandung,FALSE,4:00,22:00,Tidak Konsisten,,0,Tidak Tersedia
Masjid Nurul Hidayah,"Neglasari, Kec. Cibeunying Kaler, Kota Bandung","4,9",170,Tidak Ada,Tidak Tersedia,-6.8984231,107.6418123,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al- Qona'ah,"Jl. SD Muararajeun No.1, RT.001/RW.08, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung","4,6",620,Tidak Ada,Tidak Tersedia,-6.9017013,107.6305743,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Jami Al-Ihsan,"Jl. Kartini, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung","4,2",100,Tidak Ada,Tidak Tersedia,-6.9186349,107.6167221,,Masjid,Kota Bandung,FALSE,4:00,21:15,Normal,,0,Tidak Tersedia
Masjid Lautze 2 Bandung,"Jl. Tamblong No.27, Braga, Kec. Sumur Bandung, Kota Bandung","4,8",1019,Ada,Tidak Tersedia,-6.9180923,107.6123063,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,3:00,21:00,Normal,81387825825,2,Aksesibilitas Difabel Terbatas
MASJID AL-IMTIYAAZ,"Surapati Core, Jl. Anggrek Boulevard Jl. Khp Hasan Mustopa No.39-40, Suci, Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung","4,7",7830,Tidak Ada,Tersedia,-6.8993463,107.6526355,,Masjid,Kota Bandung,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
Masjid Al Azhar,"Jl. Bakti No.29, Pasteur, Kec. Sukajadi, Kota Bandung","4,8",3210,Tidak Ada,Tidak Tersedia,-6.892345,107.5995916,,Masjid,Kota Bandung,FALSE,4:00,21:15,Normal,,0,Tidak Tersedia
Masjid Jami An Nuur,"Jl. Cikaso Sel. Gg. Bahagia, Sukamaju, Kec. Cibeunying Kidul, Kota Bandung","4,7",480,Tidak Ada,Tidak Tersedia,-6.9113763,107.6342609,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
MASJID ASY-SYIFA 1944,"Gg. Sukamenak, RT.02/RW.08, Cicadas, Padasuka, Kec. Cibeunying Kidul, Kota Bandung","5,0",30,Tidak Ada,Tersedia,-6.9061355,107.6440942,,Masjid,Kota Bandung,FALSE,3:00,21:00,Normal,,0,Tidak Tersedia
Masjid Al-Muttaqin,"Jl. Lemah Neundeut II, Cikutra, Kec. Cibeunying Kidul, Kota Bandung","4,6",50,Ada,Tidak Tersedia,-6.903506,107.6389587,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,85220181877,0,Tidak Tersedia
Masjid Al-Ikhlas,"Jl. Lap. Supratman, Cihapit, Kec. Bandung Wetan, Kota Bandung","4,8",180,Tidak Ada,Tidak Tersedia,-6.9082781,107.6304057,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,4:00,22:00,Tidak Konsisten,,0,Tidak Tersedia
Masjid Jami' Al-Mursalin,"Jl. Karees Kulon No.162 33b, Malabar, Kec. Lengkong, Kota Bandung","4,5",230,Ada,Tidak Tersedia,-6.9224865,107.6229695,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,85871337943,0,Tidak Tersedia
